
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05008724 : Burslem Park",2248,760,748,551,177,12
"E05008725 : Dresden and Florence",2070,773,598,518,172,9
"E05008726 : Eaton Park",2075,653,672,620,126,4
"E05008727 : Etruria and Hanley",2913,793,1023,776,291,30
"E05008728 : Fenton East",2873,929,942,727,259,16
"E05008729 : Fenton West and Mount Pleasant",2763,989,817,691,236,30
"E05008730 : Ford Green and Smallthorne",2677,986,757,710,207,17
"E05008731 : Goldenhill and Sandyford",2314,806,687,620,173,28
"E05008732 : Great Chell and Packmoor",4193,1479,1345,1046,314,9
"E05008733 : Hanford and Trentham",4973,2491,1471,867,138,6
"E05008734 : Hanley Park and Shelton",2140,751,839,381,150,19
"E05008735 : Hartshill and Basford",2972,1387,907,528,140,10
"E05008736 : Hollybush and Longton West",2551,677,761,845,254,14
"E05008737 : Joiner's Square",2541,739,842,652,274,34
"E05008738 : Lightwood North and Normacot",1856,684,635,409,119,9
"E05008739 : Little Chell and Stanfield",2620,730,871,747,254,18
"E05008740 : Meir Hay",1867,851,552,365,96,3
"E05008741 : Meir North",2508,537,802,826,328,15
"E05008742 : Meir Park",2020,1065,599,304,50,2
"E05008743 : Meir South",2354,613,720,712,283,26
"E05008744 : Moorcroft",2060,586,714,537,203,20
"E05008745 : Penkhull and Stoke",3035,1250,911,650,211,13
"E05008746 : Sandford Hill",2764,955,784,769,243,13
"E05008747 : Sneyd Green",2264,769,737,596,152,10
"E05008748 : Springfields and Trent Vale",2921,1101,896,668,239,17
"E05008749 : Tunstall",2674,770,851,741,286,26
"E05008750 : Weston Coyney",2172,765,746,533,122,6
"E05001882 : Apley Castle",1147,635,331,163,18,0
"E05001883 : Arleston",1339,468,448,299,117,7
"E05001884 : Brookside",2671,945,908,589,217,12
"E05001885 : Church Aston and Lilleshall",1249,652,399,171,23,4
"E05001886 : College",1292,439,454,301,95,3
"E05001887 : Cuckoo Oak",2257,653,786,650,154,14
"E05001888 : Dawley Magna",4162,1595,1350,939,257,21
"E05001889 : Donnington",2714,849,880,743,227,15
"E05001890 : Dothill",1113,474,381,208,49,1
"E05001891 : Edgmond",1034,551,327,135,20,1
"E05001892 : Ercall",1363,667,437,214,37,8
"E05001893 : Ercall Magna",1170,562,364,195,49,0
"E05001894 : Hadley and Leegomery",4392,1642,1415,996,318,21
"E05001895 : Haygate",1530,528,467,395,127,13
"E05001896 : Horsehay and Lightmoor",1559,917,431,167,41,3
"E05001897 : Ironbridge Gorge",1135,619,339,141,34,2
"E05001898 : Ketley and Oakengates",4063,1529,1300,933,278,23
"E05001899 : Lawley and Overdale",1969,980,566,316,94,13
"E05001900 : Madeley",2429,867,781,601,165,15
"E05001901 : Malinslee",2434,710,784,670,257,13
"E05001902 : Muxton",2550,1346,765,366,69,4
"E05001903 : Newport East",1109,520,351,193,44,1
"E05001904 : Newport North",1256,653,384,183,36,0
"E05001905 : Newport South",1139,507,366,223,40,3
"E05001906 : Newport West",1249,572,424,219,32,2
"E05001907 : Park",1073,447,361,235,29,1
"E05001908 : Priorslee",2267,1390,619,229,28,1
"E05001909 : St Georges",2693,1129,833,583,138,10
"E05001910 : Shawbirch",1196,708,328,131,27,2
"E05001911 : The Nedge",3588,1325,1222,791,235,15
"E05001912 : Woodside",2475,720,879,655,213,8
"E05001913 : Wrockwardine",2267,1232,705,272,55,3
"E05001914 : Wrockwardine Wood and Trench",2724,962,963,642,150,7
"E05006902 : Brereton and Ravenhill",2743,963,874,745,150,11
"E05006903 : Cannock East",3182,982,1072,857,257,14
"E05006904 : Cannock North",2992,811,923,956,283,19
"E05006905 : Cannock South",3461,1092,1032,1023,286,28
"E05006906 : Cannock West",3055,1348,991,599,106,11
"E05006907 : Etching Hill and The Heath",2720,1141,936,505,127,11
"E05006908 : Hagley",1836,717,558,430,121,10
"E05006909 : Hawks Green",2797,1748,741,264,40,4
"E05006910 : Heath Hayes East and Wimblebury",2626,1195,767,526,127,11
"E05006911 : Hednesford Green Heath",2038,925,628,404,77,4
"E05006912 : Hednesford North",3094,1048,1006,795,227,18
"E05006913 : Hednesford South",2145,990,666,415,71,3
"E05006914 : Norton Canes",3090,1165,990,746,172,17
"E05006915 : Rawnsley",1973,914,612,347,94,6
"E05006916 : Western Springs",2912,1144,950,671,131,16
"E05006917 : Abbey",1112,621,319,151,21,0
"E05006918 : Anglesey",2637,806,982,628,198,23
"E05006919 : Bagots",1095,590,367,125,12,1
"E05006920 : Branston",3033,1536,961,457,75,4
"E05006921 : Brizlincote",2211,1214,633,316,45,3
"E05006922 : Burton",1740,628,588,405,101,18
"E05006923 : Churnet",1140,530,365,208,36,1
"E05006924 : Crown",1034,559,314,143,17,1
"E05006925 : Eton Park",2502,840,826,603,211,22
"E05006926 : Heath",2535,1073,814,505,131,12
"E05006927 : Horninglow",3673,1409,1184,831,235,14
"E05006928 : Needwood",2385,1213,765,353,52,2
"E05006929 : Rolleston on Dove",1433,730,457,218,23,5
"E05006930 : Shobnall",2931,974,985,723,220,29
"E05006931 : Stapenhill",3636,1152,1220,914,324,26
"E05006932 : Stretton",3285,1656,1025,511,80,13
"E05006933 : Town",2942,1468,892,472,98,12
"E05006934 : Tutbury and Outwoods",2518,1197,789,453,73,6
"E05006935 : Weaver",900,436,276,162,23,3
"E05006936 : Winshill",3430,1375,1163,669,206,17
"E05006937 : Yoxall",1079,570,329,153,27,0
"E05006938 : All Saints",1449,658,447,295,48,1
"E05006939 : Alrewas and Fradley",2332,1278,692,308,53,1
"E05006940 : Armitage with Handsacre",2185,917,703,465,96,4
"E05006941 : Boley Park",2091,1173,629,249,35,5
"E05006942 : Boney Hay",1319,465,425,344,75,10
"E05006943 : Bourne Vale",695,348,237,98,12,0
"E05006944 : Burntwood Central",1260,571,396,257,34,2
"E05006945 : Chadsmead",1542,567,554,313,99,9
"E05006946 : Chase Terrace",2127,977,657,413,77,3
"E05006947 : Chasetown",1615,540,534,438,86,17
"E05006948 : Colton and Mavesyn Ridware",711,352,227,112,20,0
"E05006949 : Curborough",2083,766,668,468,170,11
"E05006950 : Fazeley",1992,763,651,469,101,8
"E05006951 : Hammerwich",1406,673,467,243,23,0
"E05006952 : Highfield",1555,878,481,166,23,7
"E05006953 : King's Bromley",668,343,238,78,9,0
"E05006954 : Leomansley",3067,1666,856,449,91,5
"E05006955 : Little Aston",1104,639,346,112,6,1
"E05006956 : Longdon",775,370,278,113,14,0
"E05006957 : Mease and Tame",1412,720,470,191,28,3
"E05006958 : St John's",2651,1545,745,313,41,7
"E05006959 : Shenstone",1317,711,409,172,24,1
"E05006960 : Stonnall",625,345,183,85,12,0
"E05006961 : Stowe",2326,964,755,499,101,7
"E05006962 : Summerfield",1562,575,525,364,90,8
"E05006963 : Whittington",1355,753,416,157,27,2
"E05006964 : Audley and Bignall End",2567,1081,779,567,134,6
"E05006965 : Bradwell",2603,971,822,670,136,4
"E05006966 : Butt Lane",2375,790,793,638,147,7
"E05006967 : Chesterton",2905,1184,861,659,191,10
"E05006968 : Clayton",1906,761,611,468,63,3
"E05006969 : Cross Heath",2629,809,864,727,216,13
"E05006970 : Halmerend",1662,755,501,343,59,4
"E05006971 : Holditch",1898,577,668,463,181,9
"E05006972 : Keele",409,244,124,35,6,0
"E05006973 : Kidsgrove",2741,1112,861,628,127,13
"E05006974 : Knutton and Silverdale",1860,559,599,520,172,10
"E05006975 : Loggerheads and Whitmore",2841,1466,937,377,56,5
"E05006976 : Madeley",1826,857,596,311,60,2
"E05006977 : May Bank",2829,1356,885,477,103,8
"E05006978 : Newchapel",1467,641,455,324,43,4
"E05006979 : Porthill",1881,846,580,353,97,5
"E05006980 : Ravenscliffe",1815,781,590,369,68,7
"E05006981 : Seabridge",2538,1166,780,500,84,8
"E05006982 : Silverdale and Parksite",1617,543,517,429,122,6
"E05006983 : Talke",1735,558,616,466,93,2
"E05006984 : Thistleberry",2784,1128,935,562,149,10
"E05006985 : Town",2625,975,817,598,220,15
"E05006986 : Westlands",2414,1262,724,354,69,5
"E05006987 : Wolstanton",2647,1257,794,477,114,5
"E05006988 : Bilbrook",1902,742,617,454,85,4
"E05006989 : Brewood and Coven",2940,1301,983,564,81,11
"E05006990 : Cheslyn Hay North and Saredon",1745,725,555,390,73,2
"E05006991 : Cheslyn Hay South",1517,698,468,297,50,4
"E05006992 : Codsall North",1789,810,574,335,64,6
"E05006993 : Codsall South",1627,912,501,196,18,0
"E05006994 : Essington",1866,825,621,352,66,2
"E05006995 : Featherstone and Shareshill",1989,913,623,359,87,7
"E05006996 : Great Wyrley Landywood",1963,803,643,407,102,8
"E05006997 : Great Wyrley Town",2548,1021,847,582,97,1
"E05006998 : Himley and Swindon",875,347,297,195,35,1
"E05006999 : Huntington and Hatherton",2034,884,609,384,145,12
"E05007000 : Kinver",3074,1505,995,490,80,4
"E05007001 : Pattingham and Patshull",953,507,298,130,18,0
"E05007002 : Penkridge North East and Acton Trussell",1619,758,541,278,39,3
"E05007003 : Penkridge South East",1766,935,557,246,26,2
"E05007004 : Penkridge West",879,425,293,134,24,3
"E05007005 : Perton Dippons",776,437,232,98,9,0
"E05007006 : Perton East",831,500,235,86,9,1
"E05007007 : Perton Lakeside",2804,1335,920,459,86,4
"E05007008 : Trysull and Seisdon",887,406,305,146,28,2
"E05007009 : Wheaton Aston, Bishopswood and Lapley",1728,850,552,276,49,1
"E05007010 : Wombourne North and Lower Penn",2649,1281,831,480,54,3
"E05007011 : Wombourne South East",1759,757,593,354,53,2
"E05007012 : Wombourne South West",1938,858,650,345,82,3
"E05007013 : Barlaston and Oulton",1760,790,604,314,50,2
"E05007014 : Baswich",1840,961,592,265,20,2
"E05007015 : Chartley",823,457,245,103,17,1
"E05007016 : Church Eaton",914,482,297,121,13,1
"E05007017 : Common",2165,986,688,399,84,8
"E05007018 : Coton",2093,1006,658,354,70,5
"E05007019 : Eccleshall",2793,1448,913,370,61,1
"E05007020 : Forebridge",2622,1209,832,462,100,19
"E05007021 : Fulford",2521,1114,850,476,77,4
"E05007022 : Gnosall and Woodseaves",2727,1447,829,389,59,3
"E05007023 : Haywood and Hixon",2720,1418,867,379,56,0
"E05007024 : Highfields and Western Downs",2883,1095,978,616,184,10
"E05007025 : Holmcroft",2846,1234,990,533,88,1
"E05007026 : Littleworth",2749,1337,855,432,116,9
"E05007027 : Manor",2880,1051,992,644,175,18
"E05007028 : Milford",1684,973,482,208,19,2
"E05007029 : Milwich",765,391,244,108,21,1
"E05007030 : Penkside",1897,759,631,377,122,8
"E05007031 : Rowley",1851,1010,574,225,40,2
"E05007032 : St. Michael's",1988,1136,544,245,55,8
"E05007033 : Seighford",1475,734,482,236,23,0
"E05007034 : Stonefield and Christchurch",2566,1250,786,437,87,6
"E05007035 : Swynnerton",1921,1000,610,275,33,3
"E05007036 : Tillington",1905,800,663,361,77,4
"E05007037 : Walton",2625,1195,848,497,77,8
"E05007038 : Weeping Cross",2690,1464,869,334,21,2
"E05007039 : Alton",596,292,190,92,21,1
"E05007040 : Bagnall and Stanley",669,314,233,114,8,0
"E05007041 : Biddulph East",2505,878,729,705,185,8
"E05007042 : Biddulph Moor",727,341,218,154,14,0
"E05007043 : Biddulph North",2213,1038,743,389,40,3
"E05007044 : Biddulph South",724,258,284,170,11,1
"E05007045 : Biddulph West",2359,988,763,491,111,6
"E05007046 : Brown Edge and Endon",2039,920,652,410,57,0
"E05007047 : Caverswall",707,322,221,132,31,1
"E05007048 : Cellarhead",1376,604,451,279,40,2
"E05007049 : Cheadle North East",1501,571,466,382,76,6
"E05007050 : Cheadle South East",1550,644,453,380,67,6
"E05007051 : Cheadle West",2099,951,622,434,83,9
"E05007052 : Checkley",2393,1124,793,402,68,6
"E05007053 : Cheddleton",2267,1109,758,345,54,1
"E05007054 : Churnet",1409,627,455,270,52,5
"E05007055 : Dane",623,269,218,104,29,3
"E05007056 : Forsbrook",2226,992,754,411,66,3
"E05007057 : Hamps Valley",776,373,258,122,22,1
"E05007058 : Horton",739,390,231,103,15,0
"E05007059 : Ipstones",778,372,241,150,13,2
"E05007060 : Leek East",2331,988,749,456,121,17
"E05007061 : Leek North",2374,767,761,647,174,25
"E05007062 : Leek South",2547,1090,830,485,130,12
"E05007063 : Leek West",2074,983,628,383,73,7
"E05007064 : Manifold",823,383,259,153,23,5
"E05007065 : Werrington",1347,655,402,254,34,2
"E05007066 : Amington",3150,1334,994,648,157,17
"E05007067 : Belgrave",2954,1157,978,629,175,15
"E05007068 : Bolehall",3241,1273,1084,699,168,17
"E05007069 : Castle",3491,1414,1047,778,222,30
"E05007070 : Glascote",3106,995,1071,774,251,15
"E05007071 : Mercian",2830,1046,953,670,147,14
"E05007072 : Spital",3061,1237,1016,688,113,7
"E05007073 : Stonydelph",3098,1393,978,570,149,8
"E05007074 : Trinity",3013,1506,933,487,85,2
"E05007075 : Wilnecote",3673,1827,1127,596,113,10
"E05007457 : Arley and Whitacre",2280,931,738,514,93,4
"E05007458 : Atherstone Central",1818,639,596,439,130,14
"E05007459 : Atherstone North",1419,513,508,333,63,2
"E05007460 : Atherstone South and Mancetter",1587,602,492,396,89,8
"E05007461 : Baddesley and Grendon",1663,641,539,407,74,2
"E05007462 : Coleshill North",1368,724,413,198,33,0
"E05007463 : Coleshill South",1466,622,489,284,63,8
"E05007464 : Curdworth",1314,643,426,206,39,0
"E05007465 : Dordon",1286,437,437,344,65,3
"E05007466 : Fillongley",1341,631,443,216,49,2
"E05007467 : Hartshill",1562,660,505,316,73,8
"E05007468 : Hurley and Wood End",1543,641,486,343,73,0
"E05007469 : Kingsbury",1550,665,525,294,63,3
"E05007470 : Newton Regis and Warton",1368,637,462,237,29,3
"E05007471 : Polesworth East",1396,542,479,312,62,1
"E05007472 : Polesworth West",1410,691,446,232,39,2
"E05007473 : Water Orton",1441,677,486,236,39,3
"E05007474 : Abbey",3982,1341,1281,943,369,48
"E05007475 : Arbury",2797,1300,879,507,103,8
"E05007476 : Attleborough",3292,1391,1061,657,170,13
"E05007477 : Bar Pool",3184,1115,1065,762,221,21
"E05007478 : Bede",2985,880,1001,870,219,15
"E05007479 : Bulkington",2794,1090,949,646,102,7
"E05007480 : Camp Hill",3075,918,1048,830,250,29
"E05007481 : Exhall",3305,1216,1111,787,182,9
"E05007482 : Galley Common",3176,1635,971,468,99,3
"E05007483 : Heath",3074,1198,1020,701,151,4
"E05007484 : Kingswood",2885,1043,959,697,176,10
"E05007485 : Poplar",3341,1325,1078,735,198,5
"E05007486 : St Nicolas",2733,1444,879,359,50,1
"E05007487 : Slough",2966,1244,953,619,140,10
"E05007488 : Weddington",3080,1443,994,562,77,4
"E05007489 : Wem Brook",3235,942,1040,924,300,29
"E05007490 : Whitestone",2807,1521,895,355,34,2
"E05007491 : Admirals",2896,1680,809,339,65,3
"E05007492 : Avon and Swift",1169,607,367,174,20,1
"E05007493 : Benn",3033,1310,1025,546,137,15
"E05007494 : Bilton",2231,1066,759,358,44,4
"E05007495 : Brownsover North",2498,1515,684,252,41,6
"E05007496 : Brownsover South",1974,826,687,339,111,11
"E05007497 : Caldecott",2358,1116,774,396,67,5
"E05007498 : Dunchurch and Knightlow",2530,1330,829,330,41,0
"E05007499 : Earl Craven and Wolston",2467,1228,799,380,56,4
"E05007500 : Eastlands",2463,1336,799,281,42,5
"E05007501 : Fosse",1596,803,500,265,26,2
"E05007502 : Hillmorton",2349,1023,798,455,70,3
"E05007503 : Lawford and King's Newnham",1539,721,488,256,67,7
"E05007504 : Leam Valley",779,461,224,86,7,1
"E05007505 : New Bilton",3388,1478,1139,610,147,14
"E05007506 : Newbold",3075,1014,1107,715,225,14
"E05007507 : Overslade",2417,1040,828,450,96,3
"E05007508 : Paddox",1546,793,464,250,38,1
"E05007509 : Ryton-on-Dunsmore",728,374,235,107,10,2
"E05007510 : Wolvey",839,423,287,118,11,0
"E05008585 : Alcester",2752,1201,908,535,98,10
"E05007512 : Aston Cantlow",813,432,245,117,19,0
"E05007944 : Bardon",912,499,272,120,18,3
"E05008586 : Bidford and Salford",2856,1409,922,434,86,5
"E05007515 : Brailes",948,514,280,134,20,0
"E05007945 : Burton Dassett",969,571,266,116,15,1
"E05007517 : Claverdon",918,516,260,123,18,1
"E05008587 : Ettington",975,569,298,94,14,0
"E05007519 : Fenny Compton",1034,578,309,125,20,2
"E05007520 : Harbury",1921,1092,529,258,41,1
"E05007947 : Henley",2126,921,750,393,60,2
"E05008588 : Kineton",1806,954,555,254,40,3
"E05007949 : Kinwarton",881,460,282,114,25,0
"E05007524 : Long Compton",975,513,320,123,18,1
"E05007525 : Long Itchington",965,512,293,141,19,0
"E05007526 : Quinton",1105,597,319,156,32,1
"E05007527 : Sambourne",757,399,251,93,13,1
"E05007528 : Shipston",2318,1125,771,367,47,8
"E05008589 : Snitterfield",889,486,281,105,15,2
"E05007530 : Southam",2778,1328,935,447,64,4
"E05007531 : Stockton and Napton",981,545,277,138,21,0
"E05007532 : Stratford Alveston",3168,1875,930,314,46,3
"E05008590 : Stratford Avenue and New Town",3710,1766,1202,599,123,20
"E05007534 : Stratford Guild and Hathaway",3636,1822,1165,542,102,5
"E05007535 : Stratford Mount Pleasant",1880,822,626,355,73,4
"E05007536 : Studley",2513,1109,790,521,84,9
"E05007951 : Tanworth",1530,814,504,184,25,3
"E05008591 : Tredington",1008,575,321,101,11,0
"E05008592 : Vale of the Red Horse",965,527,299,111,27,1
"E05008593 : Welford",913,473,278,138,20,4
"E05008594 : Wellesbourne",2926,1474,943,444,64,1
"E05007542 : Abbey",3487,1994,1036,404,48,5
"E05007543 : Bishop's Tachbrook",1021,571,278,147,25,0
"E05007544 : Brunswick",3865,1419,1333,832,253,28
"E05007545 : Budbrooke",2566,1605,695,231,32,3
"E05007546 : Clarendon",3116,1509,1062,425,111,9
"E05007547 : Crown",2442,959,829,503,141,10
"E05007548 : Cubbington",2354,1277,731,315,29,2
"E05007549 : Lapworth",1295,744,407,126,16,2
"E05007550 : Leek Wootton",1032,665,254,101,12,0
"E05007551 : Manor",3603,2066,958,496,79,4
"E05007552 : Milverton",4115,2307,1243,435,112,18
"E05007553 : Park Hill",3658,2216,1025,368,46,3
"E05007554 : Radford Semele",1024,559,309,133,21,2
"E05007555 : St John's",3236,1712,983,473,65,3
"E05007556 : Stoneleigh",850,470,253,108,17,2
"E05007557 : Warwick North",3630,1679,1153,653,133,12
"E05007558 : Warwick South",4480,2562,1258,548,104,8
"E05007559 : Warwick West",5238,2763,1497,764,195,19
"E05007560 : Whitnash",3524,1738,1090,598,89,9
"E05007561 : Willes",4143,1994,1315,662,150,22
"E05001178 : Acocks Green",11050,3358,3637,2908,1051,96
"E05001179 : Aston",9742,1819,3458,3148,1161,156
"E05001180 : Bartley Green",10728,3337,3453,2865,957,116
"E05001181 : Billesley",10749,3563,3442,2815,833,96
"E05001182 : Bordesley Green",9228,1828,3165,2903,1214,118
"E05001183 : Bournville",11270,4901,3442,2225,637,65
"E05001184 : Brandwood",10912,4126,3292,2588,803,103
"E05001185 : Edgbaston",9004,3930,2929,1539,522,84
"E05001186 : Erdington",10236,3578,3294,2470,791,103
"E05001187 : Hall Green",9519,3918,3166,1950,447,38
"E05001188 : Handsworth Wood",9296,2876,3287,2361,690,82
"E05001189 : Harborne",9939,4866,2902,1638,488,45
"E05001190 : Hodge Hill",9648,2555,3367,2738,892,96
"E05001191 : Kings Norton",10276,3470,3313,2594,813,86
"E05001192 : Kingstanding",10133,2536,3142,3067,1250,138
"E05001193 : Ladywood",15661,5020,6782,2801,918,140
"E05001194 : Longbridge",10785,3833,3425,2649,822,56
"E05001195 : Lozells and East Handsworth",9532,2026,3310,2900,1167,129
"E05001196 : Moseley and Kings Heath",11010,5059,3196,1943,709,103
"E05001197 : Nechells",12045,2443,4386,3514,1501,201
"E05001198 : Northfield",11370,4098,3748,2727,718,79
"E05001199 : Oscott",10244,3634,3431,2473,654,52
"E05001200 : Perry Barr",8806,3234,3013,2011,509,39
"E05001201 : Quinton",10038,3894,3204,2219,655,66
"E05001202 : Selly Oak",8194,3894,2791,1201,283,25
"E05001203 : Shard End",11603,2809,3727,3636,1270,161
"E05001204 : Sheldon",9203,2939,3076,2490,635,63
"E05001205 : Soho",10300,2506,3577,2917,1165,135
"E05001206 : South Yardley",11323,3358,3821,2955,1046,143
"E05001207 : Sparkbrook",9406,1781,3063,3001,1383,178
"E05001208 : Springfield",9309,2496,3208,2589,927,89
"E05001209 : Stechford and Yardley North",9871,2876,3270,2721,900,104
"E05001210 : Stockland Green",10328,3457,3327,2540,899,105
"E05001211 : Sutton Four Oaks",10156,5288,3173,1493,187,15
"E05001212 : Sutton New Hall",9433,4756,2940,1489,225,23
"E05001213 : Sutton Trinity",10663,5132,3373,1741,371,46
"E05001214 : Sutton Vesey",9635,4892,3049,1416,249,29
"E05001215 : Tyburn",10311,2834,3416,2996,1003,62
"E05001216 : Washwood Heath",9004,1579,3074,2892,1291,168
"E05001217 : Weoley",10776,3566,3530,2645,943,92
"E05001218 : Bablake",6535,2862,2124,1271,258,20
"E05001219 : Binley and Willenhall",7426,2235,2541,1858,680,112
"E05001220 : Cheylesmore",7167,2998,2293,1436,399,41
"E05001221 : Earlsdon",6347,3512,1917,757,146,15
"E05001222 : Foleshill",6940,1502,2360,2083,874,121
"E05001223 : Henley",7622,2461,2531,1980,587,63
"E05001224 : Holbrook",6637,2271,2243,1563,511,49
"E05001225 : Longford",7953,2388,2751,2047,690,77
"E05001226 : Lower Stoke",7271,2954,2372,1489,421,35
"E05001227 : Radford",7802,2686,2595,1845,627,49
"E05001228 : St Michael's",8637,2681,3133,1956,754,113
"E05001229 : Sherbourne",7293,3117,2370,1336,401,69
"E05001230 : Upper Stoke",7549,2562,2547,1786,574,80
