QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05005701 : Gainsborough East,"7,031",23.9
E05005702 : Gainsborough North,"6,860",28.2
E05005703 : Gainsborough South-West,"4,617",10.7
E05005704 : Hemswell,"2,527",0.3
E05005705 : Kelsey,"2,664",0.3
E05005706 : Lea,"2,140",0.8
E05005707 : Market Rasen,"5,417",0.6
E05005708 : Middle Rasen,"2,978",0.4
E05005709 : Nettleham,"4,710",2.1
E05005710 : Saxilby,"5,076",1.0
E05005711 : Scampton,"3,196",0.5
E05005712 : Scotter,"4,764",0.7
E05005713 : Stow,"2,222",0.7
E05005714 : Sudbrooke,"2,648",2.0
E05005715 : Thonock,"2,708",0.9
E05005716 : Torksey,"2,790",0.6
E05005717 : Waddingham and Spital,"2,452",0.3
E05005718 : Welton,"5,604",0.9
E05005719 : Wold View,"2,363",0.2
E05005720 : Yarborough,"2,221",0.6
E05005926 : Beanfield,"3,357",44.5
E05005927 : Central,"2,160",19.9
E05005928 : Danesholme,"3,864",33.8
E05005929 : East,"7,086",12.2
E05005930 : Exeter,"2,257",45.9
E05005931 : Great Oakley,"2,248",12.8
E05005932 : Kingswood,"6,815",44.3
E05005933 : Lodge Park,"3,401",40.3
E05005934 : Oakley Vale,"9,384",39.2
E05005935 : Rowlett,"4,484",60.7
E05005936 : Rural West,"1,692",0.8
E05005937 : Shire Lodge,"4,402",15.2
E05005938 : Stanion and Corby Village,"2,565",2.7
E05005939 : Tower Hill,"4,156",29.2
E05005940 : Weldon and Gretton,"3,384",1.2
E05005941 : Abbey North,"9,751",23.5
E05005942 : Abbey South,"3,475",30.1
E05005943 : Badby,"1,952",0.5
E05005944 : Barby and Kilsby,"4,313",1.1
E05005945 : Boughton and Pitsford,"1,783",1.6
E05005946 : Brampton,"1,749",0.5
E05005947 : Braunston,"1,759",1.3
E05005948 : Brixworth,"6,184",1.3
E05005949 : Byfield,"1,853",0.5
E05005950 : Clipston,"2,100",0.4
E05005951 : Crick,"1,886",0.9
E05005952 : Drayton,"6,030",14.1
E05005953 : Flore,"1,899",0.6
E05005954 : Hill,"5,770",11.3
E05005955 : Long Buckby,"4,233",1.4
E05005956 : Moulton,"4,195",2.5
E05005957 : Ravensthorpe,"1,844",0.5
E05005958 : Spratton,"1,796",0.7
E05005959 : Walgrave,"2,047",0.7
E05005960 : Weedon,"3,361",1.2
E05005961 : Welford,"1,969",0.4
E05005962 : West Haddon and Guilsborough,"2,410",1.2
E05005963 : Woodford,"3,709",1.2
E05005964 : Yelvertoft,"1,775",0.4
E05005965 : Barnwell,"1,967",0.3
E05005966 : Fineshade,"2,051",0.4
E05005967 : Higham Ferrers Chichele,"3,390",22.7
E05005968 : Higham Ferrers Lancaster,"5,259",2.7
E05005969 : Irthlingborough John Pyel,"4,574",10.2
E05005970 : Irthlingborough Waterloo,"3,961",5.4
E05005971 : King's Forest,"1,900",0.3
E05005972 : Lower Nene,"2,147",0.4
E05005973 : Lyveden,"2,033",0.4
E05005974 : Oundle,"6,318",1.3
E05005975 : Prebendal,"2,142",0.4
E05005976 : Raunds Saxon,"4,702",3.3
E05005977 : Raunds Windmill,"3,939",9.9
E05005978 : Rushden Bates,"4,514",9.8
E05005979 : Rushden Hayden,"7,382",16.8
E05005980 : Rushden Pemberton,"6,807",58.4
E05005981 : Rushden Sartoris,"4,347",39.4
E05005982 : Rushden Spencer,"6,222",14.8
E05005983 : Stanwick,"2,183",1.6
E05005984 : Thrapston Lakes,"4,735",6.1
E05005985 : Thrapston Market,"4,076",2.2
E05005986 : Woodford,"2,116",1.1
E05005987 : All Saints,"8,067",70.2
E05005988 : Avondale Grange,"5,466",37.4
E05005989 : Barton,"4,887",22.9
E05008549 : Brambleside,"4,789",40.2
E05005991 : Burton Latimer,"7,449",6.6
E05005992 : Desborough Loatland,"5,968",9.7
E05005993 : Desborough St Giles,"4,729",13.5
E05005994 : Ise Lodge,"7,287",20.7
E05005995 : Northfield,"2,659",49.9
E05005996 : Pipers Hill,"5,405",32.5
E05008550 : Queen Eleanor and Buccleuch,"2,630",0.5
E05005998 : Rothwell,"7,694",5.6
E05005999 : St Michael's and Wicksteed,"7,604",22.3
E05006000 : St Peter's,"4,754",14.9
E05006001 : Slade,"6,133",1.2
E05006002 : Welland,"2,646",0.3
E05006003 : William Knibb,"5,308",49.8
E05008824 : Abington,"9,668",77.5
E05008825 : Billing,"8,457",37.4
E05008826 : Boothville,"3,843",27.3
E05008827 : Brookside,"5,441",33.4
E05008828 : Castle,"13,930",45.9
E05008829 : Delapre and Briar Hill,"14,515",23.8
E05008830 : East Hunsbury,"10,200",25.3
E05008831 : Eastfield,"5,308",46.4
E05008832 : Headlands,"4,614",59.6
E05008833 : Kings Heath,"4,866",13.2
E05008834 : Kingsley,"5,386",51.6
E05008835 : Kingsthorpe,"4,477",26.8
E05008836 : Nene Valley,"11,180",13.5
E05008837 : New Duston,"9,818",45.3
E05008838 : Obelisk,"4,118",37.1
E05008839 : Old Duston,"7,301",39.4
E05008840 : Park,"4,503",20.7
E05008841 : Parklands,"4,450",16.0
E05008842 : Phippsville,"4,777",74.4
E05008843 : Rectory Farm,"5,462",51.4
E05008844 : Riverside,"4,253",10.1
E05008845 : Rushmills,"4,709",8.1
E05008846 : St David's,"5,007",39.6
E05008847 : St James,"5,465",27.2
E05008848 : Semilong,"5,953",60.3
E05008849 : Spencer,"5,849",36.8
E05008850 : Spring Park,"4,294",39.3
E05008851 : Sunnyside,"4,296",48.5
E05008852 : Talavera,"11,340",41.0
E05008853 : Trinity,"4,267",31.9
E05008854 : Upton,"5,536",7.7
E05008855 : West Hunsbury,"4,704",20.2
E05008856 : Westone,"4,082",33.2
E05006027 : Astwell,"2,028",0.5
E05006028 : Blakesley and Cote,"3,442",0.6
E05006029 : Blisworth and Roade,"4,219",1.9
E05006030 : Brackley East,"4,357",14.7
E05006031 : Brackley South,"4,215",27.0
E05006032 : Brackley West,"4,446",19.0
E05006033 : Brafield and Yardley,"4,100",0.8
E05006034 : Cosgrove and Grafton,"2,122",1.0
E05006035 : Danvers and Wardoun,"3,629",0.5
E05006036 : Deanshanger,"4,112",2.2
E05006037 : Grange Park,"4,404",20.2
E05006038 : Hackleton,"2,258",0.7
E05006039 : Harpole and Grange,"4,560",1.6
E05006040 : Heyfords and Bugbrooke,"4,329",2.5
E05006041 : Kings Sutton,"2,116",1.3
E05006042 : Kingthorn,"1,675",1.2
E05006043 : Little Brook,"2,214",0.7
E05006044 : Middleton Cheney,"3,832",2.6
E05006045 : Old Stratford,"1,996",4.6
E05006046 : Salcey,"2,270",1.6
E05006047 : Silverstone,"2,176",2.9
E05006048 : Steane,"1,998",0.5
E05006049 : Tove,"1,681",0.7
E05006050 : Towcester Brook,"5,837",11.4
E05006051 : Towcester Mill,"3,415",2.0
E05006052 : Washington,"1,716",0.4
E05006053 : Whittlewood,"2,042",0.9
E05008595 : Brickhill,"5,743",48.4
E05006055 : Castle,"7,321",13.0
E05006056 : Croyland,"8,239",25.9
E05006057 : Earls Barton,"5,387",5.8
E05006058 : Finedon,"4,309",2.9
E05008596 : Great Doddington and Wilby,"1,747",1.6
E05006060 : Hemmingwell,"8,272",21.4
E05006061 : Irchester,"4,745",4.2
E05006062 : North,"2,263",0.8
E05008597 : Queensway,"5,818",17.7
E05006064 : Redwell East,"4,230",35.2
E05006065 : Redwell West,"3,417",13.4
E05006066 : South,"2,052",1.2
E05008598 : Swanspool,"6,047",34.1
E05006068 : West,"1,731",0.7
E05006069 : Wollaston,"4,035",1.8
E05006362 : Hucknall Central,"7,245",46.4
E05006363 : Hucknall East,"8,156",17.2
E05006364 : Hucknall North,"6,966",40.5
E05006365 : Hucknall West,"9,732",12.0
E05006366 : Jacksdale,"3,158",8.5
E05006367 : Kirkby in Ashfield Central,"7,108",6.5
E05006368 : Kirkby in Ashfield East,"6,613",13.6
E05006369 : Kirkby in Ashfield West,"6,951",18.4
E05006370 : Selston,"6,753",11.4
E05006371 : Sutton in Ashfield Central,"11,512",37.8
E05006372 : Sutton in Ashfield East,"12,663",9.2
E05006373 : Sutton in Ashfield North,"10,937",6.3
E05006374 : Sutton in Ashfield West,"11,641",16.4
E05006375 : Underwood,"2,953",5.0
E05006376 : Woodhouse,"7,109",4.2
E05006377 : Beckingham,"2,285",0.8
E05006378 : Blyth,"2,232",0.8
E05006379 : Carlton,"5,623",3.0
E05006380 : Clayworth,"1,892",0.6
E05006381 : East Markham,"2,485",0.5
E05006382 : East Retford East,"7,115",7.8
E05006383 : East Retford North,"6,162",15.9
E05006384 : East Retford South,"4,215",14.1
E05006385 : East Retford West,"4,858",16.7
E05006386 : Everton,"2,283",0.4
E05006387 : Harworth,"7,948",11.0
E05006388 : Langold,"2,472",1.5
E05006389 : Misterton,"2,467",1.2
E05006390 : Rampton,"2,296",0.5
E05006391 : Ranskill,"2,417",1.1
E05006392 : Sturton,"2,289",0.5
E05006393 : Sutton,"3,109",0.6
E05006394 : Tuxford and Trent,"4,274",0.7
E05006395 : Welbeck,"2,092",0.3
E05006396 : Worksop East,"6,325",4.3
E05006397 : Worksop North,"9,050",24.4
E05006398 : Worksop North East,"6,189",41.4
E05006399 : Worksop North West,"7,653",8.7
E05006400 : Worksop South,"6,900",4.2
E05006401 : Worksop South East,"8,232",5.8
E05006402 : Attenborough,"2,328",5.6
E05006403 : Awsworth,"2,204",14.8
E05006404 : Beeston Central,"4,799",53.9
E05006405 : Beeston North,"5,653",49.4
E05006406 : Beeston Rylands,"5,516",21.9
E05006407 : Beeston West,"5,337",47.1
E05006408 : Bramcote,"7,270",15.9
E05006409 : Brinsley,"2,327",6.0
E05006410 : Chilwell East,"5,041",44.3
E05006411 : Chilwell West,"7,823",32.3
E05006412 : Cossall and Kimberley,"6,659",9.5
E05006413 : Eastwood North and Greasley (Beauvale),"3,050",3.9
E05006414 : Eastwood South,"9,139",35.0
E05006415 : Greasley (Giltbrook and Newthorpe),"6,233",7.3
E05006416 : Nuthall East and Strelley,"5,238",6.2
E05006417 : Nuthall West and Greasley (Watnall),"5,013",6.7
E05006418 : Stapleford North,"4,772",31.1
E05006419 : Stapleford South East,"4,998",32.5
E05006420 : Stapleford South West,"5,471",45.3
E05006421 : Toton and Chilwell Meadows,"8,238",21.4
E05006422 : Trowell,"2,378",3.6
E05006423 : Bestwood Village,"1,969",2.1
E05006424 : Bonington,"6,786",29.7
E05006425 : Burton Joyce and Stoke Bardolph,"3,613",3.3
E05006426 : Calverton,"7,076",3.7
E05006427 : Carlton,"6,881",47.3
E05006428 : Carlton Hill,"7,278",60.9
E05006429 : Daybrook,"5,014",50.2
E05006430 : Gedling,"6,817",13.6
E05006431 : Killisick,"2,595",22.6
E05006432 : Kingswell,"4,892",40.5
E05006433 : Lambley,"2,164",2.4
E05006434 : Mapperley Plains,"7,132",34.6
E05006435 : Netherfield and Colwick,"7,398",22.7
E05006436 : Newstead,"2,300",1.0
E05006437 : Phoenix,"4,974",63.1
E05006438 : Porchester,"7,045",34.7
E05006439 : Ravenshead,"5,629",3.9
E05006440 : St James,"4,186",50.5
E05006441 : St Marys,"6,602",29.3
E05006442 : Valley,"4,380",43.0
E05006443 : Woodborough,"1,872",2.4
E05006444 : Woodthorpe,"6,940",43.7
E05008857 : Abbott,"2,313",40.8
E05008858 : Berry Hill,"2,241",10.4
E05008859 : Brick Kiln,"3,119",36.1
E05008860 : Broomhill,"3,165",43.7
E05008861 : Bull Farm and Pleasley Hill,"3,616",7.4
E05008862 : Carr Bank,"3,334",28.7
E05008863 : Eakring,"2,715",42.1
E05008864 : Grange Farm,"2,717",30.0
E05008865 : Holly,"3,078",46.7
E05008866 : Hornby,"2,753",34.5
E05008867 : Kings Walk,"2,872",49.6
E05008868 : Kingsway,"3,039",30.6
E05008869 : Ladybrook,"3,426",50.4
E05008870 : Lindhurst,"2,890",20.2
E05008871 : Ling Forest,"2,627",11.5
E05008872 : Manor,"2,617",23.9
E05008873 : Market Warsop,"3,239",3.2
E05008874 : Maun Valley,"2,546",12.2
E05008875 : Meden,"2,722",3.1
E05008876 : Netherfield,"2,947",8.2
E05008877 : Newgate,"2,932",57.6
E05008878 : Newlands,"3,189",12.4
E05008879 : Oak Tree,"2,839",16.8
E05008880 : Oakham,"2,646",10.6
E05008881 : Park Hall,"3,225",11.4
E05008882 : Peafields,"2,833",14.6
E05008883 : Penniment,"2,895",43.3
E05008884 : Portland,"2,307",21.9
E05008885 : Racecourse,"3,082",48.5
E05008886 : Ransom Wood,"2,690",6.7
E05008887 : Sandhurst,"2,854",32.5
E05008888 : Sherwood,"2,581",11.0
E05008889 : Warsop Carrs,"3,091",4.9
E05008890 : Woodhouse,"3,335",21.6
E05008891 : Woodlands,"2,378",27.4
E05008892 : Yeoman Hill,"3,613",27.0
E05006464 : Balderton North,"4,969",11.8
E05006465 : Balderton West,"4,788",18.6
E05006466 : Beacon,"7,335",26.4
E05006467 : Blidworth,"4,457",3.6
E05006468 : Boughton,"5,038",3.3
E05006469 : Bridge,"4,926",15.4
E05006470 : Castle,"4,507",9.3
E05006471 : Caunton,"2,255",0.3
E05006472 : Clipstone,"4,665",2.9
E05006473 : Collingham and Meering,"4,571",0.6
E05006474 : Devon,"5,701",49.3
E05006475 : Edwinstowe,"5,188",2.9
E05006476 : Farndon,"5,947",1.1
E05006477 : Farnsfield and Bilsthorpe,"8,362",1.2
E05006478 : Lowdham,"5,614",1.6
E05006479 : Magnus,"5,231",31.7
E05006480 : Muskham,"2,458",0.5
E05006481 : Ollerton,"6,512",2.2
E05006482 : Rainworth,"6,879",1.5
E05006483 : Southwell East,"2,395",1.6
E05006484 : Southwell North,"2,316",21.1
E05006485 : Southwell West,"3,011",2.2
E05006486 : Sutton-on-Trent,"2,443",0.7
E05006487 : Trent,"2,478",0.8
E05006488 : Winthorpe,"2,771",0.9
E05006489 : Abbey,"4,564",43.1
E05006490 : Bingham East,"4,513",6.0
E05006491 : Bingham West,"4,618",7.3
E05006492 : Compton Acres,"4,934",21.9
E05006493 : Cotgrave,"7,203",4.9
E05006494 : Cranmer,"2,768",1.7
E05006495 : Edwalton Village,"3,908",12.0
E05006496 : Gamston,"5,337",5.7
E05006497 : Gotham,"1,994",0.9
E05006498 : Keyworth North,"1,637",8.5
E05006499 : Keyworth South,"5,096",9.0
E05006500 : Lady Bay,"5,121",47.3
E05006501 : Leake,"6,480",3.9
E05006502 : Lutterell,"3,912",26.9
E05006503 : Manvers,"4,068",6.6
E05006504 : Melton,"4,720",54.9
E05006505 : Musters,"4,298",42.1
E05006506 : Nevile,"1,888",0.5
E05006507 : Oak,"2,190",0.9
E05006508 : Ruddington,"7,216",6.2
E05006509 : Soar Valley,"2,639",1.4
E05006510 : Stanford,"2,581",0.7
E05006511 : Thoroton,"2,077",0.4
E05006512 : Tollerton,"1,883",1.7
E05006513 : Trent,"4,810",3.0
E05006514 : Trent Bridge,"4,636",48.1
E05006515 : Wiverton,"3,817",0.8
E05006516 : Wolds,"2,221",0.6
E05001842 : Aylestone,"6,759",26.0
E05001843 : Backbury,"3,082",0.6
E05001844 : Belmont,"9,837",34.3
E05001845 : Bircher,"2,817",0.5
E05001846 : Bringsty,"2,830",0.3
E05001847 : Bromyard,"5,880",0.8
"E05001848 : Burghill, Holmer and Lyde","3,309",1.2
E05001849 : Castle,"3,094",0.3
E05001850 : Central,"3,139",24.0
E05001851 : Credenhill,"3,612",1.8
E05001852 : Frome,"3,450",0.3
E05001853 : Golden Cross with Weobley,"2,985",0.4
E05001854 : Golden Valley North,"3,057",0.3
E05001855 : Golden Valley South,"3,016",0.2
E05001856 : Hagley,"3,811",1.4
E05001857 : Hampton Court,"2,696",0.3
E05001858 : Hollington,"2,116",0.4
E05001859 : Hope End,"5,600",0.7
E05001860 : Kerne Bridge,"3,205",0.7
E05001861 : Kington Town,"3,240",0.9
E05001862 : Ledbury,"9,636",2.1
E05001863 : Leominster North,"5,775",8.2
E05001864 : Leominster South,"5,916",2.1
E05001865 : Llangarron,"3,357",0.5
E05001866 : Mortimer,"3,211",0.2
E05001867 : Old Gore,"3,144",0.3
E05001868 : Pembridge and Lyonshall with Titley,"3,124",0.3
E05001869 : Penyard,"3,290",0.7
E05001870 : Pontrilas,"3,605",0.4
E05001871 : Ross-on-Wye East,"4,947",7.9
E05001872 : Ross-on-Wye West,"5,635",20.8
E05001873 : St Martins and Hinton,"12,619",34.0
E05001874 : St Nicholas,"6,900",25.6
E05001875 : Stoney Street,"2,996",0.8
E05001876 : Sutton Walls,"3,333",1.3
E05001877 : Three Elms,"10,377",17.5
E05001878 : Tupsley,"9,265",29.1
E05001879 : Upton,"2,818",0.3
E05001880 : Valletts,"3,372",0.4
E05001881 : Wormsley Ridge,"2,622",0.3
E05008136 : Abbey,"3,767",19.7
E05008137 : Albrighton,"4,628",2.6
E05008138 : Alveley and Claverley,"4,032",0.6
E05008139 : Bagley,"4,621",7.6
E05008140 : Battlefield,"4,193",14.6
"E05008141 : Bayston Hill, Column and Sutton","11,982",9.3
E05008142 : Belle Vue,"4,550",31.1
E05008143 : Bishop's Castle,"3,728",0.2
E05008144 : Bowbrook,"3,904",18.5
E05008145 : Bridgnorth East and Astley Abbotts,"6,614",3.4
E05008146 : Bridgnorth West and Tasley,"6,830",7.5
E05008147 : Broseley,"4,929",6.7
E05008148 : Brown Clee,"3,906",0.3
E05008149 : Burnell,"4,597",0.3
E05008150 : Castlefields and Ditherington,"4,231",49.0
E05008151 : Cheswardine,"4,240",0.6
E05008152 : Chirbury and Worthen,"3,049",0.2
E05008153 : Church Stretton and Craven Arms,"8,936",0.9
E05008154 : Clee,"4,595",0.6
E05008155 : Cleobury Mortimer,"7,226",0.4
E05008156 : Clun,"3,964",0.2
E05008157 : Copthorne,"4,105",20.7
E05008158 : Corvedale,"3,783",0.2
E05008159 : Ellesmere Urban,"3,835",7.8
E05008160 : Harlescott,"5,060",14.0
E05008161 : Highley,"3,605",5.7
E05008162 : Hodnet,"4,429",0.5
E05008163 : Llanymynech,"3,988",0.6
E05008164 : Longden,"3,967",0.9
E05008165 : Loton,"4,119",0.3
E05008166 : Ludlow East,"4,129",42.2
E05008167 : Ludlow North,"3,696",1.3
E05008168 : Ludlow South,"4,136",1.5
E05008169 : Market Drayton East,"4,808",1.3
E05008170 : Market Drayton West,"8,654",28.1
E05008171 : Meole,"4,375",23.3
E05008172 : Rea Valley,"4,283",1.2
E05008173 : Monkmoor,"4,543",31.0
E05008174 : Much Wenlock,"3,988",0.5
E05008175 : Oswestry East,"9,056",23.6
E05008176 : Oswestry South,"4,300",10.7
E05008177 : Oswestry West,"3,749",39.8
E05008178 : Porthill,"4,558",24.5
E05008179 : Prees,"4,281",0.5
E05008180 : Quarry and Coton Hill,"4,474",26.0
E05008181 : Radbrook,"3,979",15.1
E05008182 : Ruyton and Baschurch,"4,174",0.6
E05008183 : St Martin's,"4,333",1.0
E05008184 : St Oswald,"4,504",0.7
"E05008185 : Gobowen, Selattyn and Weston Rhyn","6,866",1.6
E05008186 : Severn Valley,"4,211",0.3
E05008187 : Shawbury,"4,666",0.8
E05008188 : Shifnal North,"4,746",1.3
E05008189 : Shifnal South and Cosford,"5,248",1.1
E05008190 : Sundorne,"3,957",26.1
E05008191 : Tern,"4,411",0.5
E05008192 : The Meres,"4,590",0.4
E05008193 : Underdale,"4,495",25.7
E05008194 : Wem,"8,324",1.2
E05008195 : Whitchurch North,"7,005",4.4
E05008196 : Whitchurch South,"4,399",1.0
E05008197 : Whittington,"4,067",0.8
E05008198 : Worfield,"3,711",0.4
E05008714 : Abbey Hulton and Townsend,"9,918",23.8
"E05008715 : Baddeley, Milton and Norton","17,250",19.1
E05008716 : Bentilee and Ubberley,"10,779",23.2
E05008717 : Birches Head and Central Forest Park,"11,322",41.8
E05008718 : Blurton East,"5,203",35.5
E05008719 : Blurton West and Newstead,"6,304",19.8
E05008720 : Boothen and Oak Hill,"5,744",49.4
E05008721 : Bradeley and Chell Heath,"5,751",43.4
E05008722 : Broadway and Longton East,"5,261",42.9
E05008723 : Burslem Central,"6,206",20.1
E05008724 : Burslem Park,"5,108",38.1
E05008725 : Dresden and Florence,"5,089",44.3
E05008726 : Eaton Park,"4,476",17.4
E05008727 : Etruria and Hanley,"6,719",18.7
E05008728 : Fenton East,"6,269",28.6
E05008729 : Fenton West and Mount Pleasant,"5,801",26.5
E05008730 : Ford Green and Smallthorne,"5,827",41.2
E05008731 : Goldenhill and Sandyford,"5,533",14.8
E05008732 : Great Chell and Packmoor,"9,997",21.8
E05008733 : Hanford and Trentham,"11,836",17.9
E05008734 : Hanley Park and Shelton,"6,467",39.2
E05008735 : Hartshill and Basford,"6,650",30.9
E05008736 : Hollybush and Longton West,"5,878",22.1
E05008737 : Joiner's Square,"4,998",23.8
E05008738 : Lightwood North and Normacot,"5,196",34.2
E05008739 : Little Chell and Stanfield,"6,410",28.8
E05008740 : Meir Hay,"4,756",40.0
E05008741 : Meir North,"5,763",42.8
E05008742 : Meir Park,"4,941",27.6
E05008743 : Meir South,"5,791",22.5
E05008744 : Moorcroft,"5,406",38.4
E05008745 : Penkhull and Stoke,"6,518",36.7
E05008746 : Sandford Hill,"6,378",34.4
E05008747 : Sneyd Green,"5,342",45.6
E05008748 : Springfields and Trent Vale,"6,816",21.2
E05008749 : Tunstall,"6,232",40.3
E05008750 : Weston Coyney,"5,073",26.7
E05001882 : Apley Castle,"3,058",12.4
E05001883 : Arleston,"3,635",34.6
E05001884 : Brookside,"6,923",45.3
E05001885 : Church Aston and Lilleshall,"3,223",0.9
E05001886 : College,"3,091",21.7
E05001887 : Cuckoo Oak,"5,404",11.4
E05001888 : Dawley Magna,"9,584",26.4
E05001889 : Donnington,"6,883",21.1
E05001890 : Dothill,"2,442",26.2
E05001891 : Edgmond,"3,322",0.7
E05001892 : Ercall,"3,121",23.1
E05001893 : Ercall Magna,"2,874",0.4
E05001894 : Hadley and Leegomery,"11,565",16.0
E05001895 : Haygate,"3,298",34.8
E05001896 : Horsehay and Lightmoor,"4,292",9.5
E05001897 : Ironbridge Gorge,"2,582",4.5
E05001898 : Ketley and Oakengates,"9,545",19.9
E05001899 : Lawley and Overdale,"5,227",13.8
E05001900 : Madeley,"5,329",20.0
E05001901 : Malinslee,"6,106",23.2
E05001902 : Muxton,"6,557",7.4
E05001903 : Newport East,"2,826",36.6
E05001904 : Newport North,"3,177",22.3
E05001905 : Newport South,"2,635",22.7
E05001906 : Newport West,"2,898",37.1
E05001907 : Park,"2,526",42.3
E05001908 : Priorslee,"6,325",14.8
E05001909 : St Georges,"6,084",33.0
E05001910 : Shawbirch,"3,239",34.4
E05001911 : The Nedge,"9,381",14.8
E05001912 : Woodside,"6,898",48.2
E05001913 : Wrockwardine,"5,912",1.1
E05001914 : Wrockwardine Wood and Trench,"6,679",25.7
E05006902 : Brereton and Ravenhill,"6,538",12.4
E05006903 : Cannock East,"7,063",35.1
E05006904 : Cannock North,"7,286",49.3
E05006905 : Cannock South,"7,673",23.4
E05006906 : Cannock West,"6,996",28.4
E05006907 : Etching Hill and The Heath,"6,777",4.0
